"date","zip_code","psps_abs","psps_hybrid"
2019-09-23,95975,1,1
2019-09-23,95977,1,1
2019-09-23,95978,1,1
2019-09-24,92220,1,1
2019-09-24,94515,1,1
2019-09-24,94534,1,1
2019-09-24,94558,1,1
2019-09-24,94562,1,1
2019-09-24,94567,1,1
2019-09-24,94574,1,1
2019-09-24,95403,1,1
2019-09-24,95402,1,1
2019-09-24,95404,1,1
2019-09-24,95406,1,1
2019-09-24,95409,1,1
2019-09-24,95439,1,1
2019-09-24,95448,1,1
2019-09-24,95461,1,1
2019-09-24,95492,1,1
2019-09-24,95607,1,1
2019-09-24,95631,1,1
2019-09-24,95901,1,1
2019-09-24,95914,1,1
2019-09-24,95916,1,1
2019-09-24,95917,1,1
2019-09-24,95918,1,1
2019-09-24,95972,1,1
2019-09-24,95919,1,1
2019-09-24,95922,1,1
2019-09-24,95925,1,1
2019-09-24,95928,1,1
2019-09-24,95929,1,1
2019-09-24,95930,1,1
2019-09-24,95935,1,1
2019-09-24,95941,1,1
2019-09-24,95942,1,1
2019-09-24,95712,1,1
2019-09-24,95924,1,1
2019-09-24,95945,1,1
2019-09-24,95946,1,1
2019-09-24,95949,1,1
2019-09-24,95954,1,1
2019-09-24,95959,1,1
2019-09-24,95962,1,1
2019-09-24,95940,1,1
2019-09-24,95958,1,1
2019-09-24,95965,1,1
2019-09-24,95966,1,1
2019-09-24,95968,1,1
2019-09-24,95967,1,1
2019-09-24,95969,1,1
2019-09-24,95927,1,1
2019-09-24,95973,1,1
2019-09-24,95975,1,1
2019-09-24,95977,1,1
2019-09-24,95978,1,1
2019-09-25,94515,1,1
2019-09-25,94534,1,1
2019-09-25,94558,1,1
2019-09-25,94562,1,1
2019-09-25,94567,1,1
2019-09-25,94574,1,1
2019-09-25,95403,1,1
2019-09-25,95402,1,1
2019-09-25,95404,1,1
2019-09-25,95406,1,1
2019-09-25,95409,1,1
2019-09-25,95439,1,1
2019-09-25,95448,1,1
2019-09-25,95461,1,1
2019-09-25,95492,1,1
2019-09-25,95607,1,1
2019-09-25,95631,1,1
2019-09-25,95901,1,1
2019-09-25,95914,1,1
2019-09-25,95916,1,1
2019-09-25,95917,1,1
2019-09-25,95918,1,1
2019-09-25,95972,1,1
2019-09-25,95919,1,1
2019-09-25,95922,1,1
2019-09-25,95925,1,1
2019-09-25,95928,1,1
2019-09-25,95929,1,1
2019-09-25,95930,1,1
2019-09-25,95935,1,1
2019-09-25,95941,1,1
2019-09-25,95942,1,1
2019-09-25,95712,1,1
2019-09-25,95924,1,1
2019-09-25,95945,1,1
2019-09-25,95946,1,1
2019-09-25,95949,1,1
2019-09-25,95954,1,1
2019-09-25,95959,1,1
2019-09-25,95962,1,1
2019-09-25,95940,1,1
2019-09-25,95958,1,1
2019-09-25,95965,1,1
2019-09-25,95966,1,1
2019-09-25,95968,1,1
2019-09-25,95967,1,1
2019-09-25,95969,1,1
2019-09-25,95927,1,1
2019-09-25,95973,1,1
2019-09-25,95975,1,1
2019-09-25,95977,1,1
2019-09-25,95978,1,1
2019-09-26,94515,1,1
2019-09-26,94534,1,1
2019-09-26,94558,1,1
2019-09-26,94562,1,1
2019-09-26,94567,1,1
2019-09-26,94574,1,1
2019-09-26,95403,1,1
2019-09-26,95402,1,1
2019-09-26,95404,1,1
2019-09-26,95406,1,1
2019-09-26,95409,1,1
2019-09-26,95439,1,1
2019-09-26,95448,1,1
2019-09-26,95461,1,1
2019-09-26,95492,1,1
2019-09-26,95607,1,1
2019-09-26,95631,1,1
2019-09-26,95901,1,1
2019-09-26,95914,1,1
2019-09-26,95916,1,1
2019-09-26,95917,1,1
2019-09-26,95918,1,1
2019-09-26,95972,1,1
2019-09-26,95919,1,1
2019-09-26,95922,1,1
2019-09-26,95925,1,1
2019-09-26,95928,1,1
2019-09-26,95929,1,1
2019-09-26,95930,1,1
2019-09-26,95935,1,1
2019-09-26,95941,1,1
2019-09-26,95942,1,1
2019-09-26,95712,1,1
2019-09-26,95924,1,1
2019-09-26,95945,1,1
2019-09-26,95946,1,1
2019-09-26,95949,1,1
2019-09-26,95954,1,1
2019-09-26,95959,1,1
2019-09-26,95962,1,1
2019-09-26,95940,1,1
2019-09-26,95958,1,1
2019-09-26,95965,1,1
2019-09-26,95966,1,1
2019-09-26,95968,1,1
2019-09-26,95967,1,1
2019-09-26,95969,1,1
2019-09-26,95927,1,1
2019-09-26,95973,1,1
2019-09-26,95975,1,1
2019-09-26,95977,1,1
2019-09-26,95978,1,1
2019-10-05,95914,1,1
2019-10-05,95916,1,1
2019-10-05,95928,1,1
2019-10-05,95929,1,1
2019-10-05,95930,1,1
2019-10-05,95941,1,1
2019-10-05,95942,1,1
2019-10-05,95954,1,1
2019-10-05,95940,1,1
2019-10-05,95958,1,1
2019-10-05,95965,1,1
2019-10-05,95966,1,1
2019-10-05,95967,1,1
2019-10-05,95969,1,1
2019-10-05,95927,1,1
2019-10-05,95973,1,1
2019-10-05,95978,1,1
2019-10-06,95914,1,1
2019-10-06,95916,1,1
2019-10-06,95928,1,1
2019-10-06,95929,1,1
2019-10-06,95930,1,1
2019-10-06,95941,1,1
